鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
信義區,車位,臺北市信義區和平東路三段151~180號,0.0,商,,,1090106,土地0建物0車位1,,,其他,,,,38.64,0,0,0,有,無,有,6000,,坡道平面,38.64,6000,依車位所登記公設門牌申報。租金含管理費。,RPROMLMLJHPFFDA97CC
南港區,建物,臺北市南港區研究院路二段182巷79弄1~30號,0.0,住,,,1090105,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,75.47,2,2,1,有,有,有,20000,265,,0.0,0,租金含管理費,RPQPMLMLJHPFFDA97CC
南港區,建物,臺北市南港區興中路68巷1~30號,0.0,商,,,1090106,土地0建物1車位0,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831216,103.21000000000001,3,2,1,有,有,有,30000,291,,0.0,0,,RPTPMLMLJHPFFDA28CC
萬華區,建物,臺北市萬華區萬大路237巷10弄31~60號,0.0,住,,,1090105,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750424,96.21,3,2,2,有,無,有,23000,239,,0.0,0,租金含水電費。,RPVNMLMLJHPFFBA08CC
中山區,建物,臺北市中山區建國北路二段121~150號,0.0,住,,,1090108,土地0建物1車位0,十層,14,辦公商業大樓,住家用,鋼筋混凝土造,0710702,94.11,0,0,0,無,無,無,28000,298,,0.0,0,,RPXOMLMLJHPFFCA48CC
中山區,建物,臺北市中山區新生北路三段56巷1~30號,0.0,商,,,1090105,土地0建物1車位0,二層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0700410,39.18,1,1,1,有,有,有,15000,383,,0.0,0,租金含管理費,RPRPMLMLJHPFFCA97CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,住,,,1090121,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670502,36.99,2,1,1,有,無,有,21000,568,,0.0,0,房號610，第六層共分成10間，一間平均面積約為36.99平方公尺,RPXPMLMLJHPFFCA58CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,住,,,1090121,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670502,36.99,2,1,1,有,無,有,19200,519,,0.0,0,房號505，第五層共分成10間，一間平均面積約為36.99平方公尺,RPOQMLMLJHPFFCA77CC
中山區,建物,臺北市中山區民生東路二段147巷6弄1~30號,0.0,住,,,1090121,土地0建物0車位0,三層,3,套房(1房1廳1衛),,加強磚造,,37.93,1,0,1,有,無,有,17000,448,,0.0,0,此為分租套房，房號303，第三層共分成2間，一間平均面積約為37.93平方公尺,RPPQMLMLJHPFFCA87CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,住,,,1090120,土地0建物0車位0,五層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0670502,36.99,1,0,1,有,無,有,15500,419,,0.0,0,此為分租套房，房號504，第五層共分成10間，一間平均面積約為36.99平方公尺,RPUQMLMLJHPFFCA38CC
中山區,建物,臺北市中山區錦西街1~30號,0.0,住,,,1090120,土地0建物0車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670502,36.99,2,1,1,有,無,有,18000,487,,0.0,0,房號510，第五層共分成10間，一間平均面積約為36.99平方公尺,RPVQMLMLJHPFFCA48CC
